sample_id,num_reads_total
HPGL0366,41768591
HPGL0368,34936565
HPGL0370,38199823
HPGL0372,32947762
HPGL0376,40724163
HPGL0378,37160294
HPGL0380,36336239
HPGL0382,34651874
HPGL0399,43760350
HPGL0401,40930438
HPGL0403,47395739
HPGL0405,42434355
HPGL0459,42161765
HPGL0463,42592217
HPGL0467,39928377
HPGL0497,41383910
HPGL0501,39286846
HPGL0505,42991400
HPGL0509,30255832
HPGL0364,37842159
HPGL0374,37754472
HPGL0397,46050486
HPGL0456,49994474
HPGL0494,52206385
HPGL0363,40982361
HPGL0373,41381080
HPGL0396,54995542
HPGL0455,41435897
HPGL0493,41519189
