sample_id,num_reads_total
HPGL0366,83537182
HPGL0368,69873130
HPGL0370,76399646
HPGL0372,65895524
HPGL0376,81448326
HPGL0378,74320588
HPGL0380,72672478
HPGL0382,69303748
HPGL0399,87520700
HPGL0401,81860876
HPGL0403,94791478
HPGL0405,84868710
HPGL0459,84323530
HPGL0463,85184434
HPGL0467,79856754
HPGL0497,82767820
HPGL0501,78573692
HPGL0505,85982800
HPGL0509,60511664
HPGL0364,75684318
HPGL0374,75508944
HPGL0397,92100972
HPGL0456,99988948
HPGL0494,104412770
HPGL0363,81964722
HPGL0373,82762160
HPGL0396,109991084
HPGL0455,82871794
HPGL0493,83038378
